=== 建築基準法（法） ===,,,
法令,項,号,ファイル名
法第19条,第1項,,A19_P1_kijo.json
法第19条,第2項,,A19_P2_kijo.json
法第19条,第3項,,A19_P3_kijo.json
法第19条,第4項,,A19_P4_kijo.json
法第20条,第1項,,A20_P1_kijo.json
法第20条,第1項,第1号,A20_P1_I1_kijo.json
法第20条,第1項,第2号,A20_P1_I2_kijo.json
法第20条,第1項,第3号,A20_P1_I3_kijo.json
法第20条,第1項,第4号,A20_P1_I4_kijo.json
法第20条,第2項,,A20_P2_kijo.json
法第21条,第1項,,A21_P1_kijo.json
法第21条,第2項,,A21_P2_kijo.json
法第21条,第3項,,A21_P3_kijo.json
法第22条,第1項,,A22_P1_kijo.json
法第22条,第2項,,A22_P2_kijo.json
法第23条,第1項,,A23_P1_kijo.json
法第24条,第1項,,A24_P1_kijo.json
法第25条,第1項,,A25_P1_kijo.json
法第26条,第1項,,A26_P1_kijo.json
法第26条,第1項,第2号,A26_P1_I2_kijo.json
法第26条,第1項,第3号,A26_P1_I3_kijo.json
法第26条,第2項,第1号,A26_P2_I1_kijo.json
法第26条,第2項,第2号,A26_P2_I2_kijo.json
法第27条,第1項,,A27_P1_kijo.json
法第27条,第1項,第1号,A27_P1_I1_kijo.json
法第27条,第2項,,A27_P2_kijo.json
法第27条,第3項,,A27_P3_kijo.json
法第27条,第3項,第2号,A27_P3_I2_kijo.json
法第27条,第4項,,A27_P4_kijo.json
法第28条,第1項,,A28_P1_kijo.json
法第28条,第2項,,A28_P2_kijo.json
法第28条,第3項,,A28_P3_kijo.json
法第28条,第4項,,A28_P4_kijo.json
法第28の2条,第1項,,A28_2_P1_kijo.json
法第28の2条,第1項,第1号,A28_2_P1_I1_kijo.json
法第28の2条,第1項,第3号,A28_2_P1_I3_kijo.json
法第29条,第1項,,A29_P1_kijo.json
法第30条,第1項,,A30_P1_kijo.json
法第30条,第1項,第1号,A30_P1_I1_kijo.json
法第30条,第2項,,A30_P2_kijo.json
法第31条,第1項,,A31_P1_kijo.json
法第31条,第2項,,A31_P2_kijo.json
法第32条,第1項,,A32_P1_kijo.json
法第33条,第1項,,A33_P1_kijo.json
法第34条,第1項,,A34_P1_kijo.json
法第34条,第2項,,A34_P2_kijo.json
法第35条,第1項,,A35_P1_kijo.json
法第35の2条,第1項,,A35_2_P1_kijo.json
法第35の3条,第1項,,A35_3_P1_kijo.json
法第36条,第1項,,A36_P1_kijo.json
法第37条,第1項,,A37_P1_kijo.json
法第37条,第1項,第2号,A37_P1_I2_kijo.json
法第39条,第1項,,A39_P1_kijo.json
法第39条,第2項,,A39_P2_kijo.json
法第40条,第1項,,A40_P1_kijo.json
法第41条,第1項,,A41_P1_kijo.json
法第41の2条,第1項,,A41_2_P1_kijo.json
法第43条,第1項,,A43_P1_kijo.json
法第43条,第2項,,A43_P2_kijo.json
法第43条,第2項,第1号,A43_P2_I1_kijo.json
法第43条,第2項,第2号,A43_P2_I2_kijo.json
法第43条,第3項,,A43_P3_kijo.json
法第43条,第3項,第3号,A43_P3_I3_kijo.json
法第43の2条,第1項,,A43_2_P1_kijo.json
法第44条,第1項,,A44_P1_kijo.json
法第44条,第1項,第3号,A44_P1_I3_kijo.json
法第44条,第1項,第4号,A44_P1_I4_kijo.json
法第44条,第2項,,A44_P2_kijo.json
法第47条,第1項,,A47_P1_kijo.json
法第48条,第1項,,A48_P1_kijo.json
法第48条,第2項,,A48_P2_kijo.json
法第48条,第3項,,A48_P3_kijo.json
法第48条,第4項,,A48_P4_kijo.json
法第48条,第5項,,A48_P5_kijo.json
法第48条,第6項,,A48_P6_kijo.json
法第48条,第7項,,A48_P7_kijo.json
法第48条,第8項,,A48_P8_kijo.json
法第48条,第9項,,A48_P9_kijo.json
法第48条,第10項,,A48_P10_kijo.json
法第48条,第11項,,A48_P11_kijo.json
法第48条,第12項,,A48_P12_kijo.json
法第48条,第13項,,A48_P13_kijo.json
法第48条,第14項,,A48_P14_kijo.json
法第48条,第15項,,A48_P15_kijo.json
法第48条,第16項,第1号,A48_P16_I1_kijo.json
法第48条,第16項,第2号,A48_P16_I2_kijo.json
法第48条,第17項,,A48_P17_kijo.json
法第49条,第1項,,A49_P1_kijo.json
法第49条,第2項,,A49_P2_kijo.json
法第49の2条,第1項,,A49_2_P1_kijo.json
法第50条,第1項,,A50_P1_kijo.json
法第51条,第1項,,A51_P1_kijo.json
法第52条,第1項,,A52_P1_kijo.json
法第52条,第1項,第5号,A52_P1_I5_kijo.json
法第52条,第1項,第8号,A52_P1_I8_kijo.json
法第52条,第2項,,A52_P2_kijo.json
法第52条,第2項,第3号,A52_P2_I3_kijo.json
法第52条,第3項,,A52_P3_kijo.json
法第52条,第5項,,A52_P5_kijo.json
法第52条,第6項,,A52_P6_kijo.json
法第52条,第6項,第1号,A52_P6_I1_kijo.json
法第52条,第6項,第3号,A52_P6_I3_kijo.json
法第52条,第7項,,A52_P7_kijo.json
法第52条,第8項,,A52_P8_kijo.json
法第52条,第8項,第2号,A52_P8_I2_kijo.json
法第52条,第9項,,A52_P9_kijo.json
法第52条,第10項,,A52_P10_kijo.json
法第52条,第11項,,A52_P11_kijo.json
法第52条,第12項,,A52_P12_kijo.json
法第52条,第13項,,A52_P13_kijo.json
法第52条,第14項,,A52_P14_kijo.json
法第52条,第14項,第3号,A52_P14_I3_kijo.json
法第53条,第1項,,A53_P1_kijo.json
法第53条,第1項,第6号,A53_P1_I6_kijo.json
法第53条,第2項,,A53_P2_kijo.json
法第53条,第3項,,A53_P3_kijo.json
法第53条,第3項,第1号,A53_P3_I1_kijo.json
法第53条,第4項,,A53_P4_kijo.json
法第53条,第5項,,A53_P5_kijo.json
法第53条,第5項,第4号,A53_P5_I4_kijo.json
法第53条,第6項,,A53_P6_kijo.json
法第53条,第7項,,A53_P7_kijo.json
法第53条,第8項,,A53_P8_kijo.json
法第53の2条,第1項,,A53_2_P1_kijo.json
法第53の2条,第2項,,A53_2_P2_kijo.json
法第53の2条,第3項,,A53_2_P3_kijo.json
法第54条,第1項,,A54_P1_kijo.json
法第54条,第2項,,A54_P2_kijo.json
法第55条,第1項,,A55_P1_kijo.json
法第55条,第2項,,A55_P2_kijo.json
法第55条,第3項,,A55_P3_kijo.json
法第55条,第4項,,A55_P4_kijo.json
法第56条,第1項,,A56_P1_kijo.json
法第56条,第1項,第2号,A56_P1_I2_kijo.json
法第56条,第2項,,A56_P2_kijo.json
法第56条,第4項,,A56_P4_kijo.json
法第56条,第6項,,A56_P6_kijo.json
法第56条,第7項,,A56_P7_kijo.json
法第56条,第7項,第1号,A56_P7_I1_kijo.json
法第56条,第7項,第2号,A56_P7_I2_kijo.json
法第56条,第7項,第3号,A56_P7_I3_kijo.json
法第56の2条,第1項,,A56_2_P1_kijo.json
法第56の2条,第2項,,A56_2_P2_kijo.json
法第56の2条,第3項,,A56_2_P3_kijo.json
法第56の2条,第4項,,A56_2_P4_kijo.json
法第56の2条,第5項,,A56_2_P5_kijo.json
法第57条,第1項,,A57_P1_kijo.json
法第57条,第2項,,A57_P2_kijo.json
法第57の2条,第1項,,A57_2_P1_kijo.json
法第57の2条,第2項,,A57_2_P2_kijo.json
法第57の2条,第3項,,A57_2_P3_kijo.json
法第57の2条,第4項,,A57_2_P4_kijo.json
法第57の2条,第5項,,A57_2_P5_kijo.json
法第57の2条,第6項,,A57_2_P6_kijo.json
法第57の3条,第1項,,A57_3_P1_kijo.json
法第57の3条,第2項,,A57_3_P2_kijo.json
法第57の4条,第1項,,A57_4_P1_kijo.json
